game,game_url,dude,rank,start_time,list,list_url
Lord of the Rings,https://boardgamegeek.com/boardgame/823/lord-rings,,9,4m18s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Betrayal at House on the Hill,https://boardgamegeek.com/boardgame/10547/betrayal-house-hill,,8,5m51s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Cutthroat Caverns,https://boardgamegeek.com/boardgame/28259/cutthroat-caverns,,7,8m20s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Family Business,https://boardgamegeek.com/boardgame/170/family-business,,6,10m53s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Shadow Hunters,https://boardgamegeek.com/boardgame/24068/shadow-hunters,,5,12m44s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Shadows over Camelot,https://boardgamegeek.com/boardgame/15062/shadows-over-camelot,,4,14m34s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Werewolf,https://boardgamegeek.com/boardgame/925/werewolf,,3,16m47s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
King of Tokyo,https://boardgamegeek.com/boardgame/70323/king-tokyo,,2,18m30s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Ca$h 'n Gun$,https://boardgamegeek.com/boardgame/19237/cah-n-gun,,1,20m25s,Top Ten Player Elimination Games,https://www.youtube.com/watch?v=NuICh2NvECc
Macao,https://boardgamegeek.com/boardgame/55670/macao,Zee,10,1m50s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Blue Moon,https://boardgamegeek.com/boardgame/9446/blue-moon,Tom,10,3m11s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Cosmic Encounter,https://boardgamegeek.com/boardgame/39463/cosmic-encounter,Sam,10,4m26s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Cuba,https://boardgamegeek.com/boardgame/30380/cuba,Tom,9,6m22s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
7 Wonders,https://boardgamegeek.com/boardgame/68448/7-wonders,Sam,9,7m41s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Time's Up!,https://boardgamegeek.com/boardgame/1353/times,Zee,9,8m48s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Zombicide,https://boardgamegeek.com/boardgame/113924/zombicide,Sam,8,10m06s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
The Princes of Machu Picchu,https://boardgamegeek.com/boardgame/36811/princes-machu-picchu,Zee,8,10m42s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Thurn and Taxis,https://boardgamegeek.com/boardgame/21790/thurn-and-taxis,Tom,8,11m34s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Loopin' Louie,https://boardgamegeek.com/boardgame/327/loopin-louie,Tom,7,12m45s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Junta,https://boardgamegeek.com/boardgame/242/junta,Zee,7,13m36s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Dominion,https://boardgamegeek.com/boardgame/36218/dominion,Sam,7,14m41s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Innovation,https://boardgamegeek.com/boardgame/63888/innovation,Zee,6,16m01s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
Thebes,https://boardgamegeek.com/boardgame/30869/thebes,Sam,6,17m23s,Top Ten Overrated Games,https://www.youtube.com/watch?v=h-8k9Auuw5g
